單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
咖啡色,苦楝舅春天的新葉是笑青色，開花是黃色，漸漸轉紅，結子的時閣變咖啡色，所以嘛予人叫做四色樹。,"Khóo-līng-kū tshun-thinn ê sin hio̍h sī tshiò-tshenn-sik, khui-hue sī n̂g-sik, tsiām-tsiām tńg-âng, kiat-tsí ê sî koh piàn ka-pi-sik, sóo-í mā hōo lâng kiò-tsò sì-sik-tshiū.。",臺灣欒樹春天的新葉是嫩綠色，開花是黃色，漸漸轉紅，結果時又變成褐色，所以也被人稱為四色樹。,苦楝舅,完整,2025-08-27 13:34:07,教育部臺灣台語常用詞辭典
殕色,伊真愛穿殕色的褲。,I tsin ài tshīng phú-sik ê khòo.。,他很喜歡穿灰色的褲子。,殕色,完整,2025-08-27 13:33:48,教育部臺灣台語常用詞辭典
烏色,時裝的款式千變萬化，毋過人講：「紅媠，烏大範。」拄著喜事鬧熱擺，上影目的猶原是烏色的西裝、紅色的洋裝。,"Sî-tsong ê khuán-sik tshian-piàn-bān-huà, m̄-koh lâng kóng, “Âng suí, oo tuā-pān.” Tú-tio̍h hí-sū lāu-jia̍t-pái, siōng iánn-ba̍k--ê iu-guân sī oo-sik ê se-tsong, âng-sik ê iûnn-tsong.。",時裝的款式千變萬化，不過人們說「紅色美麗，黑色大方」，碰到喜事熱鬧的場合，最顯眼的仍然是黑色西裝、紅色洋裝。,紅媠，烏大範。,完整,2025-08-27 13:34:27,教育部臺灣台語常用詞辭典
白色,白色的衫仔褲才通提去漂白。,Pe̍h-sik ê sann-á-khòo tsiah thang the̍h-khì phiò-pe̍h.。,白色的衣褲才適合拿去漂白。,漂白,完整,2025-08-27 13:33:53,教育部臺灣台語常用詞辭典
粉紅仔色,伊穿一軀粉紅仔色的洋裝。,I tshīng tsi̍t su hún-âng-á-sik ê iûnn-tsong.。,他穿一件粉紅色的洋裝。,洋裝,完整,2025-08-27 13:34:22,教育部臺灣台語常用詞辭典
紅色,時裝的款式千變萬化，毋過人講：「紅媠，烏大範。」拄著喜事鬧熱擺，上影目的猶原是烏色的西裝、紅色的洋裝。,"Sî-tsong ê khuán-sik tshian-piàn-bān-huà, m̄-koh lâng kóng, “Âng suí, oo tuā-pān.” Tú-tio̍h hí-sū lāu-jia̍t-pái, siōng iánn-ba̍k--ê iu-guân sī oo-sik ê se-tsong, âng-sik ê iûnn-tsong.。",時裝的款式千變萬化，不過人們說「紅色美麗，黑色大方」，碰到喜事熱鬧的場合，最顯眼的仍然是黑色西裝、紅色洋裝。,紅媠，烏大範。,完整,2025-08-27 13:34:05,教育部臺灣台語常用詞辭典
肉色,這領衛生衣是肉色的。,Tsit niá uē-sing-i sī bah-sik--ê.。,這件衛生衣是肉色的。,肉色,完整,2025-08-27 13:33:45,教育部臺灣台語常用詞辭典
青色,苦楝舅春天的新葉是笑青色，開花是黃色，漸漸轉紅，結子的時閣變咖啡色，所以嘛予人叫做四色樹。,"Khóo-līng-kū tshun-thinn ê sin hio̍h sī tshiò-tshenn-sik, khui-hue sī n̂g-sik, tsiām-tsiām tńg-âng, kiat-tsí ê sî koh piàn ka-pi-sik, sóo-í mā hōo lâng kiò-tsò sì-sik-tshiū.。",臺灣欒樹春天的新葉是嫩綠色，開花是黃色，漸漸轉紅，結果時又變成褐色，所以也被人稱為四色樹。,苦楝舅,完整,2025-08-27 13:34:13,教育部臺灣台語常用詞辭典
黃色,苦楝舅春天的新葉是笑青色，開花是黃色，漸漸轉紅，結子的時閣變咖啡色，所以嘛予人叫做四色樹。,"Khóo-līng-kū tshun-thinn ê sin hio̍h sī tshiò-tshenn-sik, khui-hue sī n̂g-sik, tsiām-tsiām tńg-âng, kiat-tsí ê sî koh piàn ka-pi-sik, sóo-í mā hōo lâng kiò-tsò sì-sik-tshiū.。",臺灣欒樹春天的新葉是嫩綠色，開花是黃色，漸漸轉紅，結果時又變成褐色，所以也被人稱為四色樹。,苦楝舅,完整,2025-08-27 13:34:19,教育部臺灣台語常用詞辭典
