word,reason,index
考卷,無用例,1
書包,無用例,2
黑板,無用例,11
彩色筆,無用例,17
吸石,無用例,18
剪刀,無用例,21
簿子,無用例,22
臺語,無用例,26
蠟筆,無用例,30
粉筆,無用例,34
識字,無用例,37
唸歌詩,無用例,38
複習,無用例,40
畫圖紙,無用例,41
閱讀,無用例,42
中文,無用例,49
磁鐵、磁石,無用例,51
碩士,無用例,52
刀子,無用例,55
詩句,無用例,56
讀書,無用例,59
鉛筆,無用例,60
漿糊,無用例,62
高職,無用例,63
國語,無用例,64
上學、上課,無用例,66
鉛筆盒仔,無用例,69
板擦、橡皮擦,無用例,70
唸詩歌、歌謠,無用例,71
原子筆,無用例,74
鉛筆盒,無用例,78
