word,reason,index
桃園,無用例,2
村落,無用例,3
中國大陸,無用例,6
大龍泵,無用例,14
馬祖,無用例,15
松山,無用例,16
木柵,無用例,17
太空,無用例,19
臺北市萬華,無用例,20
新加坡,無用例,21
臺北市松山,無用例,25
錫口,無用例,26
鄉下,無用例,27
地號名,無用例,30
馬來西亞,無用例,32
金門,無用例,34
印度,無用例,35
大稻埕,無用例,37
臺北市景美,無用例,39
寶島,無用例,40
大陸,無用例,47
雲林,無用例,48
英國,無用例,49
法國,無用例,50
墾丁,無用例,56
彰化,無用例,61
臺北市大同區,無用例,62
東南亞,無用例,65
印尼,無用例,66
泰國,無用例,68
內湖,無用例,69
梘尾,無用例,70
港都,無用例,72
