word,reason,index
尼姑,無用例,1
龍山寺,無用例,2
菜堂,無用例,4
保生大帝,無用例,6
寺院或道場供人吃齋菜的地方,無用例,8
關帝爺,無用例,11
陣頭,無用例,14
觀世音菩薩,無用例,15
廟會,無用例,17
僧道設壇祈神求福的過程,無用例,18
神仙的統稱,無用例,21
佛經,無用例,22
耶穌,無用例,24
祖先、 祖先的神主牌,無用例,26
關聖帝君,無用例,27
臺灣民俗中的床神,無用例,28
床母,無用例,29
聖經,無用例,35
上帝,無用例,36
石獅子,無用例,37
民俗節慶時，參加表演的業餘樂團或遊藝團體,無用例,38
天使,無用例,39
註生娘娘或是織女,無用例,40
保佑、庇佑,無用例,44
傳說,無用例,46
寺廟,無用例,47
鞭炮,無用例,49
教堂,無用例,52
算命師,無用例,57
釋迦牟尼佛,無用例,59
