word,reason,index
中央政府,無用例,1
區公所,無用例,3
護照,無用例,4
村長,無用例,8
手銬,無用例,9
國旗,無用例,12
行政院,無用例,15
國王,無用例,17
鄰長,無用例,18
軍隊,無用例,21
市政府,無用例,26
