word,reason,index
牙粉,無用例,2
梳子,無用例,3
牙刷,無用例,5
腳汗,無用例,6
洗面槽,無用例,8
牙膏,無用例,9
洗髮精,無用例,10
齒觳仔,無用例,11
漱口,無用例,13
漱口杯,無用例,15
酒精,無用例,16
牙籤,無用例,17
捋仔,無用例,18
洗臉臺,無用例,20
