單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
漉喙,無紮齒抿仔，上少嘛著漉喙，無，真袂慣勢。,"Bô tsah khí-bín-á, siōng-tsió mā tio̍h lo̍k-tshuì, bô, tsin bē kuàn-sì.。",沒帶牙刷，起碼也得漱口，不然，真不習慣。,漉喙,完整,2025-08-27 13:21:42,教育部臺灣台語常用詞辭典
衛生紙,警察用衛生紙頂面的潲做證據。,Kíng-tshat iōng uē-sing-tsuá tíng-bīn ê siâu tsò tsìng-kì.。,警察用衛生紙上的精液當證據。,潲替siâu,完整,2025-08-27 13:22:01,教育部臺灣台語常用詞辭典
跤液,你入門我就鼻著你的臭跤液味，緊去共跤洗洗咧！,"Lí ji̍p-mn̂g guá tō phīnn-tio̍h lí ê tshàu-kha-sio̍h bī, kín khì kā kha sé-sé--leh",你進門我就聞到你腳臭味，快去把腳洗一洗！,臭跤液,完整,2025-08-27 13:21:56,教育部臺灣台語常用詞辭典
齒戳,用齒戳仔戳喙齒。,Iōng khí-thok-á thok tshuì-khí.。,用牙籤剔牙齒。,齒戳仔,完整,2025-08-27 13:22:20,教育部臺灣台語常用詞辭典
齒抿,無紮齒抿仔，上少嘛著漉喙，無，真袂慣勢。,"Bô tsah khí-bín-á, siōng-tsió mā tio̍h lo̍k-tshuì, bô, tsin bē kuàn-sì.。",沒帶牙刷，起碼也得漱口，不然，真不習慣。,漉喙,完整,2025-08-27 13:21:25,教育部臺灣台語常用詞辭典
齒粉,用齒粉洗喙。,Iōng khí-hún sé-tshuì.。,用牙粉洗牙。,齒粉,完整,2025-08-27 13:22:15,教育部臺灣台語常用詞辭典
齒膏,洗喙愛用齒膏。,Sé-tshuì ài īng khí-ko.。,刷牙要用牙膏。,齒膏,完整,2025-08-27 13:21:33,教育部臺灣台語常用詞辭典
