單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
日月潭,日月潭的景色袂䆀，有閒咱來去行行咧。,"Ji̍t-gua̍t-thâm ê kíng-sik bē-bái, ū-îng lán lâi-khì kiânn-kiânn--leh.。",日月潭的風景不錯，有空我們去走一走。,景色,完整,2025-08-27 13:08:54,教育部臺灣台語常用詞辭典
港口,風颱咧欲來矣，真濟漁船仔攏駛入來港口閃風。,"Hong-thai teh-beh lâi--ah, tsin tsē hî-tsûn-á lóng sái ji̍p-lâi káng-kháu siám-hong.。",颱風快要來了，很多漁船都開進港口避風。,閃風,完整,2025-08-27 13:08:51,教育部臺灣台語常用詞辭典
草山,𪜶今仔日去草山行春。,In kin-á-ji̍t khì Tsháu-suann kiânn-tshun.。,他們今天去陽明山踏春。,行春,完整,2025-08-27 13:09:02,教育部臺灣台語常用詞辭典
風景,遮風景區的飯店開甲是「三跤步一坎店」，逐間店攏著想空想縫來搶人客。,"Tsia hong-kíng-khu ê pn̄g-tiàm khui kah sī “sann kha-pōo tsi̍t khám tiàm”, ta̍k king tiàm lóng tio̍h siūnn-khang-siūnn-phāng lâi tshiúnn lâng-kheh.。",這裡風景區的飯店開得是「店家林立，競爭激烈」，每間飯店都得想盡辦法在搶客源。,三跤步一坎店。,完整,2025-08-27 13:08:56,教育部臺灣台語常用詞辭典
