word,reason,index
記者,無用例,1
建築師,無用例,3
總舖師,無用例,7
教師,無用例,10
抾字紙,無用例,11
賣衫的,無用例,16
消防隊,無用例,17
各行各業,無用例,18
清潔隊,無用例,22
漁夫、漁民,無用例,23
藝術家,無用例,24
守衛,無用例,26
工友,無用例,28
大廚師,無用例,29
生意人、商人,無用例,30
護理師,無用例,31
菜鳥、新人,無用例,32
外籍勞工,無用例,35
聽眾,無用例,36
戶政,無用例,37
保全,無用例,40
秘書,無用例,41
泥水匠、泥水工,無用例,42
小偷,無用例,44
拾荒的人,無用例,45
祕書,無用例,46
賣衣服的,無用例,47
藥劑師,無用例,48
工程師,無用例,49
外勞,無用例,50
廚師,無用例,52
農人、農夫、泛指一般勞動者,無用例,53
裁判,無用例,54
士兵、軍人,無用例,59
木工師父,無用例,60
導遊,無用例,61
賣吃的,無用例,63
