單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
水管,這條水管破去矣。,Tsit tiâu tsuí-kóng phuà--khì--ah.。,這條水管破掉了。,水管,完整,2025-08-27 16:05:55,教育部臺灣台語常用詞辭典
水道頭,浴間仔的水道頭咧漏水，阮仙舞都袂好勢，結局阮阿爸攑活扳仔共鎖予絚，一下手就好勢溜溜，有影是「食著藥，青草一葉；食毋著藥，人參一石」。,"Tsia̍h tio̍h io̍h, tshenn-tsháu tsi̍t hio̍h; tsia̍h m̄-tio̍h io̍h, jîn-sim tsi̍t tsio̍h",浴室的水龍頭漏水，我們怎麼修理都沒用。結果我爸爸拿活動板手將它鎖緊，三兩下就搞定，正所謂「做事掌握關鍵，方能達到事半功倍之效」。,食著藥，青草一葉；食毋著藥，人參一石。,完整,2025-08-27 16:03:37,教育部臺灣台語常用詞辭典
洗衫機,這領衫袂當囥洗衫機洗，你去用手浞浞咧。,"Tsit niá sann bē-tàng khǹg sé-sann-ki sé, lí khì iōng tshiú tshio̍k-tshio̍k--leh.。",這件衣服不能放洗衣機洗，你去用手稍微搓一下。,浞替tshio̍k,完整,2025-08-27 16:03:48,教育部臺灣台語常用詞辭典
畚斗,虎面前捙畚斗。,Hóo bīn-tsîng tshia-pùn-táu.。比喻昧於危險，冒險行事。,在老虎面前翻跟斗。比喻昧於危險，冒險行事。,捙畚斗,完整,2025-08-27 16:05:08,教育部臺灣台語常用詞辭典
盤仔,阿母洗碗的時，盤仔煞遛手摔破去。,"A-bú sé uánn ê sî, puânn-á suah liù-tshiú siak-phuà--khì.。",媽媽洗碗時，失手將盤子摔破。,遛手,完整,2025-08-27 16:05:13,教育部臺灣台語常用詞辭典
眠床,伊破病倒佇眠床頂廿捅冬矣，寢開始後生猶真盡心看顧，不而過俗語講：「久長病，無孝子。」這幾冬𪜶後生予伊的醫藥費硩甲袂喘氣，就無通遐認真共照顧矣。,"I phuà-pēnn tó tī bîn-tshn̂g-tíng jia̍p-thóng tang--ah, tshím-khai-sí hāu-senn iáu tsin tsīn-sim khuànn-kòo, put-jî-kò sio̍k-gí kóng, “Kú-tn̂g pēnn, bô hàu-tsú.” Tsit kuí tang in hāu-senn hōo i ê i-io̍h-huì teh kah bē tshuán-khuì, tō bô thang hiah jīn-tsin kā tsiàu-kòo--ah.。」這幾年他兒子被他的醫藥費壓得喘不過氣來，就沒辦法那麼認真照顧他了。",他已臥病在床二十多年了，剛開始兒子還很盡心照顧，但俗話說：「久病床前無孝子。」這幾年他兒子被他的醫藥費壓得喘不過氣來，就沒辦法那麼認真照顧他了。,久長病，無孝子。,完整,2025-08-27 16:06:50,教育部臺灣台語常用詞辭典
碗公,古早糧食缺欠的時，煮糜是幾粒米、一寡番薯簽乾摻一大坩水，「一粒田螺煮九碗公湯」，欲罟一粒飯粒仔就親像海底摸針，真僫啦！,"Kóo-tsá niû-si̍t khueh-khiàm ê sî, tsú muê sī kuí lia̍p bí, tsi̍t-kuá han-tsî-tshiam-kuann tsham tsi̍t tuā khann tsuí, “tsi̍t lia̍p tshân-lê tsú káu uánn-kong thng”, beh koo tsi̍t lia̍p pn̄g-lia̍p-á tō tshin-tshiūnn hái-té bong tsiam, tsin oh--lah!。",從前糧食匱乏的時代，煮稀飯是幾粒米、一些番薯簽乾加一大鍋的水，「一粒田螺煮九海碗湯」，要撈到一粒米粒就像海底撈針，好難啊！,一粒田螺煮九碗公湯。,完整,2025-08-27 16:06:34,教育部臺灣台語常用詞辭典
籠床,徛佇籠床邊熁燒。,Khiā tī lâng-sn̂g-pinn hannh sio.。,站在蒸籠旁邊烘熱。,熁,完整,2025-08-27 16:03:18,教育部臺灣台語常用詞辭典
肉砧,寒人的霜風誠透，致使肉砧的肉落尾攏堅風去矣。,"Kuânn--lâng ê sng-hong tsiânn thàu, tì-sú bah-tiam ê bah lo̍h-bué lóng kian-hong--khì--ah.。",冬天的冷風風勢很強，以至於豬肉店的肉最後都風乾變硬了。,堅風,完整,2025-08-27 16:07:44,教育部臺灣台語常用詞辭典
肥料,農藥佮肥料下了過頭是茶樹敗欉的主要原因。,Lông-io̍h kah puî-liāu hē liáu kuè-thâu sī tê-tshiū pāi-tsâng ê tsú-iàu guân-in.。,農藥和肥料過度使用是造成茶樹枯萎的主因。,敗欉,完整,2025-08-27 16:07:29,教育部臺灣台語常用詞辭典
膨椅,看著𪜶阿爸坐佇客廳的膨椅盹龜，伊跕跤勻勻仔行過去，驚共𪜶阿爸吵精神。,"Khuànn-tio̍h in a-pah tsē tī kheh-thiann ê phòng-í tuh-ku, i liam-kha ûn-ûn-á kiânn--kuè-khì, kiann kā in a-pah tshá tsing-sîn.。",看到他爸爸坐在客廳的沙發椅上打瞌睡，他踮起腳尖輕輕走過去，怕把他爸爸吵醒了。,跕跤,完整,2025-08-27 16:06:28,教育部臺灣台語常用詞辭典
花瓶,明星攏足驚人講𪜶是花瓶。,Bîng-tshenn lóng tsiok kiann lâng kóng in sī hue-pân.。,明星都很怕別人說他們是花瓶。,花瓶,完整,2025-08-27 16:06:00,教育部臺灣台語常用詞辭典
花矸,這个花矸愛排佇中央，毋通偏一爿。,"Tsit ê hue-kan ài pâi tī tiong-ng, m̄-thang phian tsi̍t pîng.。",這個花瓶要排中間，不要偏向一邊。,偏文phian,完整,2025-08-27 16:04:53,教育部臺灣台語常用詞辭典
茶鈷,茶鈷咧呻矣，你緊去共火關起來。,"Tê-kóo teh tshan--ah, lí kín khì kā hué kuainn--khí-lâi.。",茶壺在叫了，你快去將爐火關起來。,呻白tshan,完整,2025-08-27 16:05:58,教育部臺灣台語常用詞辭典
草蓆,草蓆仔頂的塗粉拭拭咧才去睏。,Tsháu-tshio̍h-á-tíng ê thôo-hún tshit-tshit--leh tsiah khì khùn.。,草蓆上的灰塵擦一擦再上去睡覺。,塗粉,完整,2025-08-27 16:05:35,教育部臺灣台語常用詞辭典
草蓆仔,草蓆仔頂的塗粉拭拭咧才去睏。,Tsháu-tshio̍h-á-tíng ê thôo-hún tshit-tshit--leh tsiah khì khùn.。,草蓆上的灰塵擦一擦再上去睡覺。,塗粉,完整,2025-08-27 16:06:56,教育部臺灣台語常用詞辭典
菜刀,看伊攑菜刀剁肉、切菜的款勢誠熟手，對煮食應該真有經驗。,"Khuànn i gia̍h tshài-to tok bah, tshiat tshài ê khuán-sè tsiânn si̍k-tshiú, tuì tsú-tsia̍h ing-kai tsin ū king-giām.。",看他拿菜刀剁肉、切菜的架式十分上手，對烹飪應該很有經驗。,款勢,完整,2025-08-27 16:06:17,教育部臺灣台語常用詞辭典
蠓罩,熱天用蠓罩才袂予蠓仔叮。,Jua̍h-thinn īng báng-tà tsiah bē hōo báng-á tìng.。,夏天用蚊帳才不會被蚊子叮。,蠓罩,完整,2025-08-27 16:05:02,教育部臺灣台語常用詞辭典
衫櫥,阿芬共臭礬囥佇衫櫥內，按呢虼蚻才袂走入去。,"A-hun kā tshàu-huân khǹg tī sann-tû-lāi, án-ne ka-tsua̍h tsiah bē tsáu--ji̍p-khì.。",阿芬將樟腦丸放在衣櫥裡，這樣蟑螂才不會跑進去。,臭礬,完整,2025-08-27 16:04:15,教育部臺灣台語常用詞辭典
鋏仔,樹仔跤的樹葉仔無偌濟，用鋏仔鋏鋏咧就會用得矣。,"Tshiū-á-kha ê tshiū-hio̍h-á bô guā-tsē, iōng giap-á giap-giap--leh tō ē-īng--tit--ah.。",樹底下的樹葉沒有很多，拿夾子夾一夾就可以了。,鋏仔,完整,2025-08-27 16:06:14,教育部臺灣台語常用詞辭典
雪文,若欲治荔枝欉頂懸的臭腥龜仔，用雪文水共噴，不止仔有應效。,"Nā beh tī nāi-tsi-tsâng tíng-kuân ê tshàu-tshènn-ku-á, iōng sap-bûn-tsuí kā phùn, put-tsí-á ū ìng-hāu.。",想對付荔枝樹上的椿象，用肥皂水直接噴它相當有效。,臭腥龜仔,完整,2025-08-27 16:07:52,教育部臺灣台語常用詞辭典
電火,棒球場下昏暗的電火點甲光映映，檢采閣有精彩的比賽通好看矣。,"Pāng-kiû-tiûnn ē-hng-àm ê tiān-hué tiám kah kng-iànn-iànn, kiám-tshái koh ū tsing-tshái ê pí-sài thang-hó khuànn--ah.。",棒球場今晚燈火通明，也許又有精彩的賽事可以觀賞了。,光映映,完整,2025-08-27 16:07:58,教育部臺灣台語常用詞辭典
電鍋,我用米管量三管米囥落去電鍋煮。,Guá īng bí-kńg niû sann kńg bí khǹg lo̍h-khì tiān-ko tsú.。,我用量米杯量了三杯的米放進電鍋裡煮。,米管,完整,2025-08-27 16:07:24,教育部臺灣台語常用詞辭典
電風,熱人到矣，電風好提出來矣。,"Jua̍h--lâng kàu--ah, tiān-hong hó the̍h--tshut-lâi--ah.。",夏天了，可以把電扇拿出來了。,熱人,完整,2025-08-27 16:03:23,教育部臺灣台語常用詞辭典
面巾,伊共面巾袚佇肩胛頭。,I kā bīn-kin phua̍h tī king-kah-thâu.。,他把毛巾披掛在肩膀上。,袚替phua̍h,完整,2025-08-27 16:05:52,教育部臺灣台語常用詞辭典
飯匙,抐桮的喙若像飯匙，規身軀白蔥蔥足成鵝，所以閣共伊號做飯匙鵝。,"Lā-pue ê tshuì ná-tshiūnn pn̄g-sî, kui-sin-khu pe̍h-tshang-tshang tsiok sîng gô, sóo-í koh kā i hō-tsò pn̄g-sî-gô.。",黑面琵鷺的鳥喙像飯匙，全身潔白很像鵝，所以又取名做飯匙鵝。,飯匙鵝,完整,2025-08-27 16:06:44,教育部臺灣台語常用詞辭典
飯坩,飯坩提去洗洗咧。,Pn̄g-khann the̍h-khì sé-sé--leh.。,飯鍋拿去洗一洗。,飯坩,完整,2025-08-27 16:05:49,教育部臺灣台語常用詞辭典
飯桌,阿媽佇田裡拍菜股，一股一股的菜蔬攏成做飯桌頂的好料理。,"A-má tī tshân--lí phah tshài-kóo, tsi̍t kóo tsi̍t kóo ê tshài-se lóng tsiânn-tsò pn̄g-toh-tíng ê hó liāu-lí.。",奶奶在田裏面築造菜畦，一畦一畦的青菜都成了飯桌上的好菜色。,菜股,完整,2025-08-27 16:06:12,教育部臺灣台語常用詞辭典
